Action,Side,Symbol,Size,Spot Entry Price,Spot Exit Price,Futures Entry Price,Futures Exit Price,Entry Time,Exit Time,Spot PnL (USD),Futures PnL (USD),Total Net PnL (USD),Holding Duration (minutes)
CLOSE,LONG,XRPUSDT,136.587,2.2,2.19,2.2,2.19,2025-05-04 16:09:30,2025-05-04 16:09:40,-0.31,0.33,0.02,0.18
OPEN,LONG,XRPUSDT,136.98,2.189,,2.1901,,,,,,,
CLOSE,LONG,XRPUSDT,136.98,2.19,2.19,2.19,2.19,2025-05-04 16:18:22,2025-05-04 16:19:51,-0.21,-0.08,-0.29,1.48
OPEN,LONG,XRPUSDT,136.943,2.1886,,2.1907,,,,,,,
CLOSE,LONG,XRPUSDT,136.943,2.19,2.19,2.19,2.19,2025-05-04 16:19:59,2025-05-04 16:20:09,-0.27,0.4,0.13,0.16
OPEN,LONG,XRPUSDT,136.961,2.1884,,2.1904,,,,,,,
CLOSE,LONG,XRPUSDT,136.961,2.19,2.19,2.19,2.19,2025-05-04 16:20:16,2025-05-04 16:20:55,0.05,0.03,0.08,0.65
OPEN,LONG,XRPUSDT,136.836,2.1908,,2.1924,,,,,,,
CLOSE,LONG,XRPUSDT,136.836,2.19,2.19,2.19,2.19,2025-05-04 16:21:03,2025-05-04 16:21:20,-0.34,0.54,0.2,0.28
OPEN,LONG,XRPUSDT,136.905,2.1899,,2.1913,,,,,,,
CLOSE,LONG,XRPUSDT,136.905,2.19,2.19,2.19,2.19,2025-05-04 16:21:27,2025-05-04 16:21:38,-0.23,0.3,0.07,0.18
OPEN,LONG,XRPUSDT,136.843,2.1896,,2.1923,,,,,,,
CLOSE,LONG,XRPUSDT,136.843,2.19,2.19,2.19,2.19,2025-05-04 16:21:46,2025-05-04 16:21:57,-0.36,0.6,0.25,0.18
OPEN,LONG,XRPUSDT,136.949,2.1897,,2.1906,,,,,,,
CLOSE,LONG,XRPUSDT,136.949,2.19,2.19,2.19,2.19,2025-05-04 16:22:05,2025-05-04 16:22:21,-0.25,0.27,0.02,0.27
OPEN,LONG,XRPUSDT,136.662,2.1931,,2.1952,,,,,,,
CLOSE,LONG,XRPUSDT,136.662,2.2,2.19,2.2,2.19,2025-05-04 16:25:23,2025-05-04 16:25:38,-0.41,0.51,0.1,0.25
OPEN,LONG,XRPUSDT,136.699,2.1922,,2.1946,,,,,,,
CLOSE,LONG,XRPUSDT,136.699,2.19,2.19,2.19,2.19,2025-05-04 16:25:46,2025-05-04 16:25:56,-0.29,0.4,0.11,0.16
OPEN,LONG,XRPUSDT,137.287,2.1859,,2.1852,,,,,,,
CLOSE,LONG,XRPUSDT,137.287,2.19,2.19,2.19,2.18,2025-05-04 17:11:59,2025-05-04 17:12:12,0.07,0.08,0.15,0.21
OPEN,LONG,XRPUSDT,137.602,2.182,,2.1802,,,,,,,
CLOSE,LONG,XRPUSDT,137.602,2.18,2.18,2.18,2.18,2025-05-04 17:21:35,2025-05-04 17:22:30,0.19,0.08,0.27,0.92
