Action,Side,Symbol,Size,Spot Entry Price,Spot Exit Price,Futures Entry Price,Futures Exit Price,Entry Time,Exit Time,Spot PnL (USD),Futures PnL (USD),Total Net PnL (USD),Holding Duration (minutes)
CLOSE,LONG,ETHUSDT,0.164,1825.15,1830.15,1825.15,1825.1,2025-05-04 17:15:30,2025-05-04 17:16:31,0.82,0.01,0.83,1.01
OPEN,LONG,ETHUSDT,0.164,1828.76,,1825.1167,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1825.12,1829.61,1825.12,1825.08,2025-05-04 17:16:41,2025-05-04 17:16:47,0.74,0.01,0.74,0.09
OPEN,LONG,ETHUSDT,0.164,1828.6,,1824.652,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1824.65,1829.01,1824.65,1824.68,2025-05-04 17:17:32,2025-05-04 17:17:49,0.71,-0.0,0.71,0.29
OPEN,LONG,ETHUSDT,0.164,1828.38,,1824.5116,,,,,,,
CLOSE,LONG,ETHUSDT,0.164,1824.51,1828.37,1824.51,1824.05,2025-05-04 17:18:53,2025-05-04 17:19:40,0.63,0.08,0.71,0.79
OPEN,LONG,ETHUSDT,0.165,1827.57,,1823.0235,,,,,,,
CLOSE,LONG,ETHUSDT,0.165,1823.02,1827.45,1823.02,1822.05,2025-05-04 17:21:51,2025-05-04 17:22:28,0.73,0.16,0.89,0.62
OPEN,LONG,ETHUSDT,0.165,1825.41,,1821.573,,,,,,,
CLOSE,LONG,ETHUSDT,0.165,1821.57,1825.29,1821.57,1820.64,2025-05-04 17:23:56,2025-05-04 17:24:19,0.61,0.15,0.77,0.37
